behavior_tag,standard,Material_category,material_name,condition,ultimate_tensile_strength,yield_strength,elongation_pct,brinell_hb,vickers_hv,youngs_modulus,shear_modulus,poisson_ratio,density_kg_m3,description,critical_strain_energy_density
Ductile,ANSI,Brass Alloy,Red brass C83800,,241000000,110000000,25,,,100000000000,37000000000,0.34,8500,,3125000000
Ductile,ANSI,Brass Alloy,Semi-red Brass C84200,,241000000,97000000,27,,,100000000000,37000000000,0.34,8500,,3645000000
Ductile,ANSI,Brass Alloy,Semi-red Brass C84400,,234000000,97000000,26,,,100000000000,37000000000,0.34,8500,,3380000000
Ductile,ANSI,Brass Alloy,Semi-red Brass C84500,,241000000,97000000,28,,,100000000000,37000000000,0.34,8500,,3920000000
Ductile,ANSI,Brass Alloy,Semi-red Brass C84800,,241000000,97000000,30,,,100000000000,37000000000,0.34,8500,,4500000000
Ductile,ANSI,Brass Alloy,Yellow Brass C85200,,262000000,90000000,35,,,100000000000,37000000000,0.34,8500,,6125000000
Ductile,ANSI,Brass Alloy,Yellow Brass C85400,,234000000,83000000,35,,,100000000000,37000000000,0.34,8500,,6125000000
Ductile,ANSI,Brass Alloy,Yellow Brass C85500,,414000000,159000000,40,,,100000000000,37000000000,0.34,8500,,8000000000
Ductile,ANSI,Brass Alloy,Yellow Brass C85700,,345000000,124000000,40,,,100000000000,37000000000,0.34,8500,,8000000000
Ductile,ANSI,Brass Alloy,Yellow Brass C85800,,379000000,207000000,15,,,100000000000,37000000000,0.34,8500,,1125000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86100,,655000000,345000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86200,,655000000,331000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86300,,793000000,572000000,15,,,120000000000,45000000000,0.31,8800,,1350000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86400,,448000000,172000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86500,,490000000,193000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86700,,586000000,290000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,Manganese Alloy,Manganese Bronze C86800,,565000000,262000000,22,,,120000000000,45000000000,0.31,8800,,2904000000
Ductile,ANSI,,Silicon Brass C87200,,379000000,172000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,,Silicon Bronze C87400,,379000000,165000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,,Silicon Bronze C87500,,462000000,207000000,21,,,120000000000,45000000000,0.31,8800,,2646000000
Ductile,ANSI,,Silicon Bronze C87600,,455000000,221000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,Silicon Bronze C87800,,586000000,345000000,25,,,120000000000,45000000000,0.31,8800,,3750000000
Ductile,ANSI,,Silicon Bronze C87900,,483000000,241000000,25,,,120000000000,45000000000,0.31,8800,,3750000000
Ductile,ANSI,,Tin Bronze C90200,,262000000,110000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,,Tin Bronze C90300,,310000000,145000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,,Tin Bronze C90500,,310000000,152000000,25,,,120000000000,45000000000,0.31,8800,,3750000000
Ductile,ANSI,,Tin Bronze C90700,,303000000,152000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,Tin Bronze C90900,,276000000,138000000,15,,,120000000000,45000000000,0.31,8800,,1350000000
Brittle,ANSI,,Tin Bronze C91000,,221000000,172000000,2,,,120000000000,45000000000,0.31,8800,,24000000
Brittle,ANSI,,Tin Bronze C91100,,241000000,172000000,2,,,120000000000,45000000000,0.31,8800,,24000000
Brittle,ANSI,,Tin Bronze C91300,,241000000,207000000,0.5,,,120000000000,45000000000,0.31,8800,,1500000
Ductile,ANSI,,Tin Bronze C91600,,303000000,152000000,16,,,120000000000,45000000000,0.31,8800,,1536000000
